source_id,source_name,SPI_indicator_id,spi_indicator_name,spi_indicator_description
SPI.D1.1.DUNL,New Indicator,Indicator 1.1,Data use by national legislature,Based on PARIS21 data use indicator (Chapter 4 of Statistical Capacity Development Outlook) using national legislature website as source.
SPI.D1.2.DUNE,FAOLEX + NSO Website,Indicator 1.2,Data use by national executive branch,PARIS21 data use indicator
SPI.D1.3.DUCS,New Indicator,Indicator 1.3,Data use by civil society,Based on PARIS21 data use indicator (Chapter 4 of Statistical Capacity Development Outlook) using main social media platform in use in country as source.
SPI.D1.4.DUAC,New Indicator,Indicator 1.4,Data use by academia,PARIS21 citations indicator
SPI.D1.5.DUIO,New Indicator,Indicator 1.5,Data use by international organisations,New indicator of level of congruence between UNSD and national database of SDG indicators. For each of the indicators calculate whether the number in the database for the most recent year is the same or different. The indicator is the percentage that are the same.
SPI.D1.5.POV,Availability of Poverty headcount ratio at $1.90 a day ,Indicator 1.5,Data use by international organisations,SDG goals 1-6
SPI.D1.5.FIES,Availability of Food Insecurity Experience Scale,Indicator 1.5,Data use by international organisations,SDG goals 1-7
SPI.D1.5.CHLD.MORT,"Availability of Mortality rate, under-5 (per 1,000 live births)",Indicator 1.5,Data use by international organisations,SDG goals 1-8
SPI.D1.5.SE.LPV.PRIM.BMP,Availability of Pupils below minimum reading proficiency at end of primary,Indicator 1.5,Data use by international organisations,SDG goals 1-9
SPI.D1.5.MMRT,Availability of Maternal Mortality,Indicator 1.5,Data use by international organisations,SDG goals 1-10
SPI.D1.5.SH.H2O.SMDW.ZS,Availability of People using safely managed drinking water services,Indicator 1.5,Data use by international organisations,SDG goals 1-11
SPI.D1.5.ELEC,Availability of Access to electricity (% of population),Indicator 1.5,Data use by international organisations,SDG goals 7-12
SPI.D1.5.SL.UEM.TOTL.NE.ZS,"Availability of Unemployment, total (% of total labor force) ",Indicator 1.5,Data use by international organisations,SDG goals 7-13
SPI.D1.5.NV.IND.MANF.ZS,"Availability of Manufacturing, value added (% of GDP)",Indicator 1.5,Data use by international organisations,SDG goals 7-14
SPI.D1.5.SI.SPR.PC40.ZG,"Availability of Annualized average growth rate mean consumption or income, bottom 40%",Indicator 1.5,Data use by international organisations,SDG goals 7-15
SPI.D1.5.NE.CON.PRVT.CN,Availability of Households and NPISHs Final consumption expenditure,Indicator 1.5,Data use by international organisations,SDG goals 7-16
SPI.D1.5.QUART.GDP,Availability of Quarterly GDP,Indicator 1.5,Data use by international organisations,SDG goals 7-17
SPI.D1.5.ER.H2O.FWST.ZS,Availability of Level of water stress,Indicator 1.5,Data use by international organisations,SDG goals 13-15
SPI.D1.5.EG.FEC.RNEW.ZS,Availability of Renewable energy consumption,Indicator 1.5,Data use by international organisations,SDG goals 13-16
SPI.D1.5.DT.TDS.DPPF.XP.ZS,Availability of Debt service,Indicator 1.5,Data use by international organisations,SDG goals 16-17
SPI.D2.1.GDDS,SDDS/e-GDDS subscription,Indicator 2.1,Data releases,IMF GDDS compliance indicator
SPI.D2.2.Machine.readable,ODIN Machine Readability Score,Indicator 2.2,Online access,ODW Open Data Index score
SPI.D2.2.Non.proprietary,ODIN Non Proprietary Data Format score,Indicator 2.2,Online access,ODW Open Data Index score
SPI.D2.2.Download.options,ODIN Download Options score,Indicator 2.2,Online access,ODW Open Data Index score
SPI.D2.2.Metadata.available,ODIN Metadata Availability score,Indicator 2.2,Online access,ODW Open Data Index score
SPI.D2.2.Terms.of.use,ODIN Terms of Use score,Indicator 2.2,Online access,ODW Open Data Index score
SPI.D2.2.Openness.subscore,ODIN Open Data Openness score,Indicator 2.2,Online access,ODW Open Data Index score
SPI.D2.3.DSAS,NSO Website,Indicator 2.3,Advisory/ Analytical Services,New indicator of number of non-recurring products on NSO website (ad hoc/experimental rather than regular releases). The indicator is the number of products found.
SPI.D2.4.NADA,NADA metadata,Indicator 2.4,Data services,NADA/NSO websites
SPI.D3.1.POV,GOAL 1: No Poverty,Indicator 3.1,SDG Goal 1,Fraction of Indicators in Goal 1 with value produced by countries statistical system
SPI.D3.2.HNGR,GOAL 2: Zero Hunger,Indicator 3.2,SDG Goal 2,Fraction of Indicators in Goal 2 with value produced by countries statistical system
SPI.D3.3.HLTH,GOAL 3: Good Health and Well-being,Indicator 3.3,SDG Goal 3,Fraction of Indicators in Goal 3 with value produced by countries statistical system
SPI.D3.4.EDUC,GOAL 4: Quality Education,Indicator 3.4,SDG Goal 4,Fraction of Indicators in Goal 4 with value produced by countries statistical system
SPI.D3.5.GEND,GOAL 5: Gender Equality,Indicator 3.5,SDG Goal 5,Fraction of Indicators in Goal 5 with value produced by countries statistical system
SPI.D3.6.WTRS,GOAL 6: Clean Water and Sanitation,Indicator 3.6,SDG Goal 6,Fraction of Indicators in Goal 6 with value produced by countries statistical system
SPI.D3.7.ENRG,GOAL 7: Affordable and Clean Energy,Indicator 3.7,SDG Goal 7,Fraction of Indicators in Goal 7 with value produced by countries statistical system
SPI.D3.8.WORK,GOAL 8: Decent Work and Economic Growth,Indicator 3.8,SDG Goal 8,Fraction of Indicators in Goal 8 with value produced by countries statistical system
SPI.D3.9.INDY,"GOAL 9: Industry, Innovation and Infrastructure",Indicator 3.9,SDG Goal 9,Fraction of Indicators in Goal 9 with value produced by countries statistical system
SPI.D3.10.NEQL,GOAL 10: Reduced Inequality,Indicator 3.10,SDG Goal 10,Fraction of Indicators in Goal 10 with value produced by countries statistical system
SPI.D3.11.CITY,GOAL 11: Sustainable Cities and Communities,Indicator 3.11,SDG Goal 11,Fraction of Indicators in Goal 11 with value produced by countries statistical system
SPI.D3.12.CNSP,GOAL 12: Responsible Consumption and Production,Indicator 3.12,SDG Goal 12,Fraction of Indicators in Goal 12 with value produced by countries statistical system
SPI.D3.13.CLMT,GOAL 13: Climate Action,Indicator 3.13,SDG Goal 13,Fraction of Indicators in Goal 13 with value produced by countries statistical system
SPI.D3.14.LFWT,GOAL 14: Life Below Water,Indicator 3.14,SDG Goal 14,Fraction of Indicators in Goal 14 with value produced by countries statistical system
SPI.D3.15.LAND,GOAL 15: Life on Land,Indicator 3.15,SDG Goal 15,Fraction of Indicators in Goal 15 with value produced by countries statistical system
SPI.D3.16.INST,GOAL 16: Peace and Justice Strong Institutions,Indicator 3.16,SDG Goal 16,Fraction of Indicators in Goal 16 with value produced by countries statistical system
SPI.D3.17.PTNS,GOAL 17: Partnerships to achieve the Goal,Indicator 3.17,SDG Goal 17,Fraction of Indicators in Goal 17 with value produced by countries statistical system
SPI.D4.1.1.POPU,Population & Housing census,Indicator 4.1,censuses and surveys,SPI scores for sources dimension
SPI.D4.1.2.AGRI,Agriculture census,Indicator 4.1,censuses and surveys,SPI scores for sources dimension
SPI.D4.1.3.BIZZ,Business/establishment census,Indicator 4.1,censuses and surveys,SPI scores for sources dimension
SPI.D4.1.4.HOUS,"Household Survey on income, etc",Indicator 4.1,censuses and surveys,SPI scores for sources dimension
SPI.D4.1.5.AGSVY,Agriculture survey,Indicator 4.1,censuses and surveys,SPI scores for sources dimension
SPI.D4.1.6.LABR,Labor Force Survey,Indicator 4.1,censuses and surveys,SPI scores for sources dimension
SPI.D4.1.7.HLTH,Health/Demographic survey,Indicator 4.1,censuses and surveys,SPI scores for sources dimension
SPI.D4.1.8.BZSVY,Business/establishment survey,Indicator 4.1,censuses and surveys,SPI scores for sources dimension
SPI.D4.2.1.SPL,Social Protection Admin (ASPIRE),Indicator 4.2,administrative data,"indicator on quality of vital registration data plus score based on density of administrative data available on key World Bank, UNESCO and ILO databases"
SPI.D4.2.2.EDU,Education (UNESCO),Indicator 4.2,administrative data,"indicator on quality of vital registration data plus score based on density of administrative data available on key World Bank, UNESCO and ILO databases"
SPI.D4.2.3.CRVS,CRVS (WDI),Indicator 4.2,administrative data,"indicator on quality of vital registration data plus score based on density of administrative data available on key World Bank, UNESCO and ILO databases"
SPI.D4.2.4.LBR,Labor Admin (ILO),Indicator 4.2,administrative data,"indicator on quality of vital registration data plus score based on density of administrative data available on key World Bank, UNESCO and ILO databases"
SPI.D4.3.GEO.first.admin.level,Geospatial data available at 1st Admin Level,Indicator 4.3,geospatial data,Open Data Watch
SPI.D4.3.GEO.second.admin.level,Geospatial data available at 2nd Admin Level,Indicator 4.3,geospatial data,Open Data Watch
SPI.D4.4.SOPC,NSO Website,Indicator 4.4,Private/citizen generated data,New indicator based on references to private/citizen generated data in metadata relating to content on NSO website
SPI.5.1.DILG,Legislation Indicator based on PARIS21 indicators on SDG 17.18.2,Indicator 5.1,Legislation and governance,"New indicator based on PARIS21 indicators on SDG 17.18.2 (national statistical legislation compliance with UN Fundamental Principles of Official Statistics), existence of National Statistical Council, national statistical strategy generation, national statistical plan. Also include some other legislative aspects that foster good use of statistics eg freedom of information, privacy/transparency, good governance (eg free and fair elections)."
SPI.D5.2.1.SNAU,System of national accounts in use,Indicator 5.2,standards,SPI scores for standards and methods dimension
SPI.D5.2.2.NABY,National Accounts base year,Indicator 5.2,standards,SPI scores for standards and methods dimension
SPI.D5.2.3.CNIN,Classification of national industry,Indicator 5.2,standards,SPI scores for standards and methods dimension
SPI.D5.2.4.CPIBY,CPI base year,Indicator 5.2,standards,SPI scores for standards and methods dimension
SPI.D5.2.5.HOUS,Classification of household consumption,Indicator 5.2,standards,SPI scores for standards and methods dimension
SPI.D5.2.6.EMPL,Classification of status of employment,Indicator 5.2,standards,SPI scores for standards and methods dimension
SPI.D5.2.7.CGOV,Central government accounting status,Indicator 5.2,standards,SPI scores for standards and methods dimension
SPI.D5.2.8.FINA,Compilation of government finance statistics,Indicator 5.2,standards,SPI scores for standards and methods dimension
SPI.D5.2.9.MONY,Compilation of monetary and financial statistics,Indicator 5.2,standards,SPI scores for standards and methods dimension
SPI.D5.2.10.GSBP,Business process,Indicator 5.2,standards,SPI scores for standards and methods dimension
SPI.5.3.DISK, PARIS21 indicator on data literacy,Indicator 5.3,Skills,New indicator drawing on PARIS21 indicators such as statistical society presence and data literacy. PARIS21 may also have material on Internal skills capacity and numbers of statistically qualified people in the country (could get this from censuses perhaps?).
SPI.5.4.DIPN,NSO Website,Indicator 5.4,Partnerships,New indicator based on textual analysis of NSS reports/websites for references to partner organisations.
SPI.5.5.DIFI,Finance Indicator based on PARIS21 indicators on SDG 17.18.3 & SDG 17.19.1,Indicator 5.5,Finance,Indicator based on PARIS21 SDG indicators (SDG 17.18.3 (national statistical plan that is fully funded and under implementation) and SDG 17.19.1 (value of resources made available to strengthen statistical capacity)). Could also incorporate indicator of NSO budget as a percentage of GDP.
RAW.D2.1.IDDS,Raw info for SDDS/e-GDDS subscription,Indicator 2.1,Data releases,IMF GDDS compliance indicator
RAW.D2.2.Machine.readable,Raw score for ODIN Machine Readability Score,Indicator 2.2,Online access,ODW Open Data Index score
RAW.D2.2.Non.proprietary,Raw score for ODIN Non Proprietary Data Format score,Indicator 2.2,Online access,ODW Open Data Index score
RAW.D2.2.Download.options,Raw score for ODIN Download Options score,Indicator 2.2,Online access,ODW Open Data Index score
RAW.D2.2.Metadata.available,Raw score for ODIN Metadata Availability score,Indicator 2.2,Online access,ODW Open Data Index score
RAW.D2.2.Terms.of.use,Raw score for ODIN Terms of Use score,Indicator 2.2,Online access,ODW Open Data Index score
RAW.D2.2.Openness.subscore,Raw score for ODIN Open Data Openness score,Indicator 2.2,Online access,ODW Open Data Index score
RAW.D2.4.NADA,Raw info for NADA metadata,Indicator 2.4,Data services,NADA/NSO websites
RAW.D2.4.NADA_text,NADA metadata link,Indicator 2.4,Data services,NADA/NSO websites
RAW.D4.1.1.POPU.CENSUS,Years of Population & Housing census,Indicator 4.1,censuses and surveys,SPI scores for sources dimension
RAW.D4.1.2.AGRI.CENSUS,Years of Agriculture census,Indicator 4.1,censuses and surveys,SPI scores for sources dimension
RAW.D4.1.3.BIZZ.CENSUS,Years of Business/establishment census,Indicator 4.1,censuses and surveys,SPI scores for sources dimension
RAW.D4.1.4.HOUS.SURVEYS,"Years of Household Survey on income, etc",Indicator 4.1,censuses and surveys,SPI scores for sources dimension
RAW.D4.1.5.AGRI.SURVEYS,Years of Agriculture survey,Indicator 4.1,censuses and surveys,SPI scores for sources dimension
RAW.D4.1.6.LABR.SURVEYS,Years of Labor Force Survey,Indicator 4.1,censuses and surveys,SPI scores for sources dimension
RAW.D4.1.7.HLTH.SURVEYS,Years of Health/Demographic survey,Indicator 4.1,censuses and surveys,SPI scores for sources dimension
RAW.D4.1.8.BIZZ.SURVEYS,Years of Business/establishment survey,Indicator 4.1,censuses and surveys,SPI scores for sources dimension
RAW.D4.2.1.SPL,Administrative Data for Social Protection Admin (ASPIRE),Indicator 4.2,administrative data,Density of administrative data available on ASPIRE databases
RAW.D4.2.2.EDU.NAS,Administrative Data for Education (UNESCO),Indicator 4.2,administrative data,Administration of a nationally-representative learning assessment (a) in Grade 2 or 3; (b) at the end of primary education; and (c) at the end of lower secondary education 
RAW.D4.2.2.EDU.OOS,Administrative Data for Education (UNESCO),Indicator 4.2,administrative data,administrative data available on Out-of-school rate by school age and sex
RAW.D4.2.2.EDU.ORGL,Administrative Data for Education (UNESCO),Indicator 4.2,administrative data,"administrative data available on Participation rate in organized learning (one year before the official primary entry age), by sex"
RAW.D4.2.3.CRVS,Administrative Data for CRVS (WDI),Indicator 4.2,administrative data,indicator on quality of vital registration data
RAW.D4.2.4.LBR.INSUR,Administrative Data for Labor Admin (ILO),Indicator 4.2,administrative data,Administrative Data from ILO on Insurance records 
RAW.D4.2.4.LBR.INSP,Administrative Data for Labor Admin (ILO),Indicator 4.2,administrative data,Administrative Data from ILO on Labour inspectorate records 
RAW.D4.2.4.LBR.EMPORG,Administrative Data for Labor Admin (ILO),Indicator 4.2,administrative data,Administrative Data from ILO on Records of employers' organizations
RAW.D4.2.4.LBR.EMPOFF,Administrative Data for Labor Admin (ILO),Indicator 4.2,administrative data,Administrative Data from ILO on Employment office records
RAW.D4.2.4.LBR.WRKORG,Administrative Data for Labor Admin (ILO),Indicator 4.2,administrative data,Administrative Data from ILO on Records of workers' organizations
RAW.D4.2.4.LBR.OTHER,Administrative Data for Labor Admin (ILO),Indicator 4.2,administrative data,Administrative Data from ILO on Other administrative records
RAW.D4.3.GEO.first.admin.level,Raw score for Geospatial data available at 1st Admin Level,Indicator 3.3 ,environmental statistics,SDG goals 13-15
RAW.D4.3.GEO.second.admin.level,Raw score for Geospatial data available at 2nd Admin Level,Indicator 3.3 ,environmental statistics,SDG goals 13-16
RAW.5.1.DILG,Raw info for Legislation Indicator based on PARIS21 indicators on SDG 17.18.2,Indicator 5.1,Legislation and governance,"New indicator based on PARIS21 indicators on SDG 17.18.2 (national statistical legislation compliance with UN Fundamental Principles of Official Statistics), existence of National Statistical Council, national statistical strategy generation, national statistical plan. Also include some other legislative aspects that foster good use of statistics eg freedom of information, privacy/transparency, good governance (eg free and fair elections)."
RAW.D5.2.1.SNAU,Raw info for System of national accounts in use,Indicator 5.2,standards,SPI scores for standards and methods dimension
RAW.D5.2.2.NABY,Raw info for National Accounts base year,Indicator 5.2,standards,SPI scores for standards and methods dimension
RAW.D5.2.3.CNIN,Raw info for Classification of national industry,Indicator 5.2,standards,SPI scores for standards and methods dimension
RAW.D5.2.4.CPIBY,Raw info for CPI base year,Indicator 5.2,standards,SPI scores for standards and methods dimension
RAW.D5.2.5.HOUS,Raw info for Classification of household consumption,Indicator 5.2,standards,SPI scores for standards and methods dimension
RAW.D5.2.6.EMPL,Raw info for Classification of status of employment,Indicator 5.2,standards,SPI scores for standards and methods dimension
RAW.D5.2.7.CGOV,Raw info for Central government accounting status,Indicator 5.2,standards,SPI scores for standards and methods dimension
RAW.D5.2.8.FINA,Raw info for Compilation of government finance statistics,Indicator 5.2,standards,SPI scores for standards and methods dimension
RAW.D5.2.9.MONY,Raw info for Compilation of monetary and financial statistics,Indicator 5.2,standards,SPI scores for standards and methods dimension
RAW.D5.2.10.GSBP,Raw info for Business process,Indicator 5.2,standards,SPI scores for standards and methods dimension
RAW.5.3.DISK,Raw info for  PARIS21 indicator on data literacy,Indicator 5.3,Skills,New indicator drawing on PARIS21 indicators such as statistical society presence and data literacy. PARIS21 may also have material on Internal skills capacity and numbers of statistically qualified people in the country (could get this from censuses perhaps?).
RAW.5.4.DIPN,Raw info for NSO Website,Indicator 5.4,Partnerships,New indicator based on textual analysis of NSS reports/websites for references to partner organisations.
RAW.5.5.DIFI,Raw info for Finance Indicator based on PARIS21 indicators on SDG 17.18.3 & SDG 17.19.1,Indicator 5.5,Finance,Indicator based on PARIS21 SDG indicators (SDG 17.18.3 (national statistical plan that is fully funded and under implementation) and SDG 17.19.1 (value of resources made available to strengthen statistical capacity)). Could also incorporate indicator of NSO budget as a percentage of GDP.
