country,indicator_date,nada_dates,nada_title
Ghana,2005,2005,National Industrial Census 2003
Kenya,2011,2011,Census of Industrial Production 2010-2011
Lao PDR,2006,2006,Economic Census 2006
Liberia,2008,2008,National Establishment Census 2007-2008
Mozambique,2005,"2005, 2016",Censo de Instituições Sem Fins Lucrativos 2004; Censo de Empresas 2014-2015
Mozambique,2016,"2005, 2016",Censo de Instituições Sem Fins Lucrativos 2004; Censo de Empresas 2014-2015
Nepal,2007,2007,"Census of Manufacturing Establishments 2006-2007, Quinquinnial Census"
Rwanda,2011,"2011, 2014, 2018",Establishment Census 2011; Establishment Census 2014; Establishment Census 2017
Rwanda,2014,"2011, 2014, 2018",Establishment Census 2011; Establishment Census 2014; Establishment Census 2017
Rwanda,2018,"2011, 2014, 2018",Establishment Census 2011; Establishment Census 2014; Establishment Census 2017
Sri Lanka,1984,"1984, 2003, 2006","Census of Industry 1983, Medium & Large Scale Establishments; Census of Industry 2004, Medium & Large Scale Establishments; Census of Industry, Trade and Services  2006, Urban"
Sri Lanka,2003,"1984, 2003, 2006","Census of Industry 1983, Medium & Large Scale Establishments; Census of Industry 2004, Medium & Large Scale Establishments; Census of Industry, Trade and Services  2006, Urban"
Sri Lanka,2006,"1984, 2003, 2006","Census of Industry 1983, Medium & Large Scale Establishments; Census of Industry 2004, Medium & Large Scale Establishments; Census of Industry, Trade and Services  2006, Urban"
Uganda,2007,2007,Business Register Update 2006-2007
Vietnam,2008,2008,"Establishment Census 2007, Three Round"
