"iso3c","indicator_date","input_var","nada_dates"
"AFG",-99,NA,NA
"AGO",2014,"2014",NA
"ALB",2001,"2001, 2011, 2023",NA
"ALB",2011,"2001, 2011, 2023",NA
"ALB",2023,"2001, 2011, 2023",NA
"AND",2011,"2011, 2021",NA
"AND",2021,"2011, 2021",NA
"ARE",2005,"2005, 2010, 2024",NA
"ARE",2010,"2005, 2010, 2024",NA
"ARE",2024,"2005, 2010, 2024",NA
"ARG",2001,"2001, 2010, 2022",NA
"ARG",2010,"2001, 2010, 2022",NA
"ARG",2022,"2001, 2010, 2022",NA
"ARM",2001,"2001, 2011",NA
"ARM",2011,"2001, 2011",NA
"ATG",2001,"2001, 2011",NA
"ATG",2011,"2001, 2011",NA
"AUS",1996,"1996, 2001, 2006, 2011, 2016, 2021",NA
"AUS",2001,"1996, 2001, 2006, 2011, 2016, 2021",NA
"AUS",2006,"1996, 2001, 2006, 2011, 2016, 2021",NA
"AUS",2011,"1996, 2001, 2006, 2011, 2016, 2021",NA
"AUS",2016,"1996, 2001, 2006, 2011, 2016, 2021",NA
"AUS",2021,"1996, 2001, 2006, 2011, 2016, 2021",NA
"AUT",2001,"2001, 2011, 2021",NA
"AUT",2011,"2001, 2011, 2021",NA
"AUT",2021,"2001, 2011, 2021",NA
"AZE",1999,"1999, 2009, 2019",NA
"AZE",2009,"1999, 2009, 2019",NA
"AZE",2019,"1999, 2009, 2019",NA
"BDI",2008,"2008",NA
"BEL",2001,"2001, 2011, 2021",NA
"BEL",2011,"2001, 2011, 2021",NA
"BEL",2021,"2001, 2011, 2021",NA
"BEN",2002,"2002, 2013, 2023",NA
"BEN",2013,"2002, 2013, 2023",NA
"BEN",2023,"2002, 2013, 2023",NA
"BFA",1996,"1996, 2006, 2019",NA
"BFA",2006,"1996, 2006, 2019",NA
"BFA",2019,"1996, 2006, 2019",NA
"BGD",2001,"2001, 2011, 2022",NA
"BGD",2011,"2001, 2011, 2022",NA
"BGD",2022,"2001, 2011, 2022",NA
"BGR",2001,"2001, 2011, 2021",NA
"BGR",2011,"2001, 2011, 2021",NA
"BGR",2021,"2001, 2011, 2021",NA
"BHR",2001,"2001, 2010, 2020",NA
"BHR",2010,"2001, 2010, 2020",NA
"BHR",2020,"2001, 2010, 2020",NA
"BHS",2000,"2000, 2010, 2022",NA
"BHS",2010,"2000, 2010, 2022",NA
"BHS",2022,"2000, 2010, 2022",NA
"BIH",2013,"2013",NA
"BLR",1999,"1999, 2009, 2019",NA
"BLR",2009,"1999, 2009, 2019",NA
"BLR",2019,"1999, 2009, 2019",NA
"BLZ",2000,"2000, 2010, 2022",NA
"BLZ",2010,"2000, 2010, 2022",NA
"BLZ",2022,"2000, 2010, 2022",NA
"BOL",2001,"2001, 2012",NA
"BOL",2012,"2001, 2012",NA
"BRA",1960,NA,"1960"
"BRA",1996,"1996, 2000, 2010, 2022",NA
"BRA",2000,"1996, 2000, 2010, 2022",NA
"BRA",2010,"1996, 2000, 2010, 2022",NA
"BRA",2022,"1996, 2000, 2010, 2022",NA
"BRB",2000,"2000, 2010, 2021",NA
"BRB",2010,"2000, 2010, 2021",NA
"BRB",2021,"2000, 2010, 2021",NA
"BRN",2001,"2001, 2011, 2021",NA
"BRN",2011,"2001, 2011, 2021",NA
"BRN",2021,"2001, 2011, 2021",NA
"BTN",2005,"2005, 2017","2005"
"BTN",2017,"2005, 2017",NA
"BWA",2001,"2001, 2011, 2022",NA
"BWA",2011,"2001, 2011, 2022","2011"
"BWA",2022,"2001, 2011, 2022",NA
"CAF",2003,"2003",NA
"CAN",1996,"1996, 2001, 2006, 2011, 2016",NA
"CAN",2001,"1996, 2001, 2006, 2011, 2016",NA
"CAN",2006,"1996, 2001, 2006, 2011, 2016",NA
"CAN",2011,"1996, 2001, 2006, 2011, 2016",NA
"CAN",2016,"1996, 2001, 2006, 2011, 2016",NA
"CHE",2000,"2000, 2010, 2021",NA
"CHE",2010,"2000, 2010, 2021",NA
"CHE",2021,"2000, 2010, 2021",NA
"CHL",2002,"2002, 2012, 2017",NA
"CHL",2012,"2002, 2012, 2017",NA
"CHL",2017,"2002, 2012, 2017",NA
"CHN",2000,"2000, 2010, 2020",NA
"CHN",2010,"2000, 2010, 2020",NA
"CHN",2020,"2000, 2010, 2020",NA
"CIV",1998,"1998, 2014, 2021",NA
"CIV",2014,"1998, 2014, 2021",NA
"CIV",2021,"1998, 2014, 2021",NA
"CMR",1976,NA,"1976"
"CMR",2005,"2005",NA
"COD",-99,NA,NA
"COG",1996,"1996, 2007",NA
"COG",2007,"1996, 2007",NA
"COL",2006,"2006, 2018",NA
"COL",2018,"2006, 2018",NA
"COM",2003,"2003, 2017",NA
"COM",2017,"2003, 2017",NA
"CPV",2000,"2000, 2010, 2021",NA
"CPV",2010,"2000, 2010, 2021",NA
"CPV",2021,"2000, 2010, 2021",NA
"CRI",2000,"2000, 2011, 2022",NA
"CRI",2011,"2000, 2011, 2022",NA
"CRI",2022,"2000, 2011, 2022",NA
"CYP",2001,"2001, 2011, 2021",NA
"CYP",2011,"2001, 2011, 2021",NA
"CYP",2021,"2001, 2011, 2021",NA
"CZE",2001,"2001, 2011, 2021",NA
"CZE",2011,"2001, 2011, 2021",NA
"CZE",2021,"2001, 2011, 2021",NA
"DEU",2011,"2011, 2022",NA
"DEU",2022,"2011, 2022",NA
"DJI",2009,"2009",NA
"DMA",2001,"2001, 2011, 2022",NA
"DMA",2011,"2001, 2011, 2022",NA
"DMA",2022,"2001, 2011, 2022",NA
"DNK",2001,"2001, 2011, 2021, 2024",NA
"DNK",2011,"2001, 2011, 2021, 2024",NA
"DNK",2021,"2001, 2011, 2021, 2024",NA
"DNK",2024,"2001, 2011, 2021, 2024",NA
"DOM",2002,"2002, 2010, 2022",NA
"DOM",2010,"2002, 2010, 2022",NA
"DOM",2022,"2002, 2010, 2022",NA
"DZA",1998,"1998, 2008, 2022",NA
"DZA",2008,"1998, 2008, 2022",NA
"DZA",2022,"1998, 2008, 2022",NA
"ECU",2001,"2001, 2010, 2022",NA
"ECU",2010,"2001, 2010, 2022",NA
"ECU",2022,"2001, 2010, 2022",NA
"EGY",1996,"1996, 2006, 2017",NA
"EGY",2006,"1996, 2006, 2017",NA
"EGY",2017,"1996, 2006, 2017",NA
"ERI",-99,NA,NA
"ESP",2001,"2001, 2011, 2021, 2024",NA
"ESP",2011,"2001, 2011, 2021, 2024",NA
"ESP",2021,"2001, 2011, 2021, 2024",NA
"ESP",2024,"2001, 2011, 2021, 2024",NA
"EST",2000,"2000, 2012, 2021",NA
"EST",2012,"2000, 2012, 2021",NA
"EST",2021,"2000, 2012, 2021",NA
"ETH",2007,"2007",NA
"FIN",2000,"2000, 2010, 2021",NA
"FIN",2010,"2000, 2010, 2021",NA
"FIN",2021,"2000, 2010, 2021",NA
"FJI",1996,"1996, 2007, 2017",NA
"FJI",2007,"1996, 2007, 2017",NA
"FJI",2017,"1996, 2007, 2017",NA
"FRA",1999,"1999, 2006, 2011, 2016",NA
"FRA",2006,"1999, 2006, 2011, 2016",NA
"FRA",2011,"1999, 2006, 2011, 2016",NA
"FRA",2016,"1999, 2006, 2011, 2016",NA
"FSM",2000,"2000, 2010",NA
"FSM",2010,"2000, 2010","2010"
"GAB",2003,"2003, 2013",NA
"GAB",2013,"2003, 2013",NA
"GBR",2001,"2001, 2011, 2021",NA
"GBR",2011,"2001, 2011, 2021",NA
"GBR",2021,"2001, 2011, 2021",NA
"GEO",2002,"2002, 2014",NA
