"country","indicator_date","nada_dates","nada_title"
"Afghanistan",1997,"1997, 2000, 2010, 2011","Multiple Indicator Cluster Survey 1997, Round 1; Multiple Indicator Cluster Survey 2000; Mortality Survey 2010; Multiple Indicator Cluster Survey 2010-2011"
"Afghanistan",2000,"1997, 2000, 2010, 2011","Multiple Indicator Cluster Survey 1997, Round 1; Multiple Indicator Cluster Survey 2000; Mortality Survey 2010; Multiple Indicator Cluster Survey 2010-2011"
"Afghanistan",2010,"1997, 2000, 2010, 2011","Multiple Indicator Cluster Survey 1997, Round 1; Multiple Indicator Cluster Survey 2000; Mortality Survey 2010; Multiple Indicator Cluster Survey 2010-2011"
"Afghanistan",2011,"1997, 2000, 2010, 2011","Multiple Indicator Cluster Survey 1997, Round 1; Multiple Indicator Cluster Survey 2000; Mortality Survey 2010; Multiple Indicator Cluster Survey 2010-2011"
"Albania",2000,"2000, 2002, 2005","Multiple Indicator Cluster Survey 2000; Reproductive Health Survey 2002; Service Availability Mapping 2005"
"Albania",2002,"2000, 2002, 2005","Multiple Indicator Cluster Survey 2000; Reproductive Health Survey 2002; Service Availability Mapping 2005"
"Albania",2005,"2000, 2002, 2005","Multiple Indicator Cluster Survey 2000; Reproductive Health Survey 2002; Service Availability Mapping 2005"
"Algeria",1995,"1995, 2000, 2006, 2010, 2017","Enquête à Indicateurs Multiples 1995, Enquête Nationale sur les Objectifs de la Mi-décennie (MDG Algérie 1995); Enquête à Indicateurs Multiples 2000, Enquête Nationale sur les Objectifs de la Fin Décennie (EDG Algérie 2000); Enquête à Indicateurs Multiples 2006; Global School-based Student Health Survey 2010; STEPwise Survey for Non Communicable Diseases Risk Factors 2016"
"Algeria",2000,"1995, 2000, 2006, 2010, 2017","Enquête à Indicateurs Multiples 1995, Enquête Nationale sur les Objectifs de la Mi-décennie (MDG Algérie 1995); Enquête à Indicateurs Multiples 2000, Enquête Nationale sur les Objectifs de la Fin Décennie (EDG Algérie 2000); Enquête à Indicateurs Multiples 2006; Global School-based Student Health Survey 2010; STEPwise Survey for Non Communicable Diseases Risk Factors 2016"
"Algeria",2006,"1995, 2000, 2006, 2010, 2017","Enquête à Indicateurs Multiples 1995, Enquête Nationale sur les Objectifs de la Mi-décennie (MDG Algérie 1995); Enquête à Indicateurs Multiples 2000, Enquête Nationale sur les Objectifs de la Fin Décennie (EDG Algérie 2000); Enquête à Indicateurs Multiples 2006; Global School-based Student Health Survey 2010; STEPwise Survey for Non Communicable Diseases Risk Factors 2016"
