"country","iso3c","date","SPI.INDEX.PIL1","SPI.INDEX.PIL2","SPI.INDEX.PIL3","SPI.INDEX.PIL4","SPI.INDEX.PIL5","SPI.INDEX","SPI.DIM1.5.INDEX","SPI.DIM2.1.INDEX","SPI.DIM2.2.INDEX","SPI.DIM2.4.INDEX","SPI.DIM3.1.INDEX","SPI.DIM3.2.INDEX","SPI.DIM3.3.INDEX","SPI.DIM3.4.INDEX","SPI.DIM4.1.CEN.INDEX","SPI.DIM4.1.SVY.INDEX","SPI.DIM4.2.INDEX","SPI.DIM4.3.INDEX","SPI.DIM5.1.INDEX","SPI.DIM5.2.INDEX","SPI.DIM5.5.INDEX","SPI.D1.5.POV","SPI.D1.5.CHLD.MORT","SPI.D1.5.DT.TDS.DPPF.XP.ZS","SPI.D1.5.SAFE.MAN.WATER","SPI.D1.5.LFP","SPI.D2.1.GDDS","SPI.D2.2.Machine.readable","SPI.D2.2.Non.proprietary","SPI.D2.2.Download.options","SPI.D2.2.Metadata.available","SPI.D2.2.Terms.of.use","SPI.D2.2.Openness.subscore","SPI.D2.4.NADA","SPI.D3.1.POV","SPI.D3.2.HNGR","SPI.D3.3.HLTH","SPI.D3.4.EDUC","SPI.D3.5.GEND","SPI.D3.6.WTRS","SPI.D3.7.ENRG","SPI.D3.8.WORK","SPI.D3.9.INDY","SPI.D3.10.NEQL","SPI.D3.11.CITY","SPI.D3.12.CNSP","SPI.D3.13.CLMT","SPI.D3.15.LAND","SPI.D3.16.INST","SPI.D3.17.PTNS","SPI.D4.1.1.POPU","SPI.D4.1.2.AGRI","SPI.D4.1.3.BIZZ","SPI.D4.1.4.HOUS","SPI.D4.1.5.AGSVY","SPI.D4.1.6.LABR","SPI.D4.1.7.HLTH","SPI.D4.1.8.BZSVY","SPI.D4.2.3.CRVS","SPI.D4.3.GEO.first.admin.level","SPI.D5.1.DILG","SPI.D5.2.1.SNAU","SPI.D5.2.2.NABY","SPI.D5.2.3.CNIN","SPI.D5.2.4.CPIBY","SPI.D5.2.5.HOUS","SPI.D5.2.6.EMPL","SPI.D5.2.7.CGOV","SPI.D5.2.8.FINA","SPI.D5.2.9.MONY","SPI.D5.2.10.GSBP","SPI.D5.5.DIFI","income","region","weights","population"
"Denmark","DNK",2023,100,98.46666666666665,90.71249999999999,87.1,100,95.25583333333334,1,1,0.954,1,0.8995,0.9305,0.8335,0.9335,1,0.934,1,0.55,1,1,1,1,1,1,1,1,1,1,1,0.8190000000000001,0.95,1,0.954,1,1,0.7,0.84,1,1,0.857,0.833,1,1,0.75,1,1,1,0.667,1,0.867,1,1,1,1,1,1,0.67,1,1,0.55,1,1,1,1,1,1,1,1,1,1,1,1,"High income","Europe & Central Asia",1,5903037
"Finland","FIN",2023,100,96.43333333333332,90.96875,88.175,100,95.11541666666668,1,1,0.893,1,0.8578333333333333,0.9513333333333334,0.9165,0.9335,1,0.934,1,0.593,1,1,1,1,1,1,1,1,1,0.933,1,0.745,0.852,0.936,0.893,1,1,0.7,0.84,1,0.75,0.857,0.833,1,1,0.875,1,1,1,0.833,1,0.867,1,1,1,1,1,1,0.67,1,1,0.593,1,1,1,1,1,1,1,1,1,1,1,1,"High income","Europe & Central Asia",1,5556106
"Poland","POL",2023,100,97.29999999999998,84.54374999999999,91.425,100,94.65375,1,1,0.919,1,0.8145,0.9305,0.6665,0.862,1,1,1,0.657,1,1,1,1,1,1,1,1,1,1,1,0.669,0.926,1,0.919,1,0.8,0.6,0.88,1,0.75,0.857,0.833,1,1,1,0.75,1,0.5,0.833,0.857,0.867,1,1,1,1,1,1,1,1,1,0.657,1,1,1,1,1,1,1,1,1,1,1,1,"High income","Europe & Central Asia",1,36821749
"Sweden","SWE",2023,100,96,90.575,85.475,100,94.41000000000001,1,1,0.88,1,0.8611666666666666,0.9513333333333334,0.875,0.9335,1,0.934,1,0.485,1,1,1,1,1,1,1,1,1,0.9,0.967,0.8170000000000001,0.85,0.867,0.88,1,1,0.8,0.76,1,0.75,0.857,0.833,1,1,0.875,1,1,1,0.75,1,0.867,1,1,1,1,1,1,0.67,1,1,0.485,1,1,1,1,1,1,1,1,1,1,1,1,"High income","Europe & Central Asia",1,10486941
"Spain","ESP",2023,100,91.19999999999999,92.625,87.8,100,94.32499999999999,1,1,0.736,1,0.8811666666666667,0.9721666666666666,0.9165,0.9335,1,1,1,0.512,1,1,1,1,1,1,1,1,1,0.867,1,0.607,0.752,0.452,0.736,1,1,0.8,0.88,1,0.75,0.857,0.833,1,1,1,1,1,1,0.833,1,0.867,1,1,1,1,1,1,1,1,1,0.512,1,1,1,1,1,1,1,1,1,1,1,1,"High income","Europe & Central Asia",1,47778340
"Netherlands","NLD",2023,100,96.89999999999999,91.08749999999999,83.625,100,94.32249999999999,1,1,0.907,1,0.8678333333333333,0.9721666666666666,0.8335,0.9335,1,0.934,1,0.411,1,1,1,1,1,1,1,1,1,0.933,0.933,0.8170000000000001,0.917,0.933,0.907,1,1,0.8,0.8,1,0.75,0.857,0.833,1,1,1,1,1,1,0.667,1,0.867,1,1,1,1,0.67,1,1,1,1,0.411,1,1,1,1,1,1,1,1,1,1,1,1,"High income","Europe & Central Asia",1,17700982
"Slovenia","SVN",2023,100,97.53333333333332,91.34374999999999,82.22500000000001,100,94.22041666666668,1,1,0.926,1,0.8678333333333333,0.9513333333333334,0.9165,0.9335,1,0.934,1,0.355,1,1,1,1,1,1,1,1,1,0.967,1,0.843,0.902,0.917,0.926,1,1,0.8,0.8,1,0.75,0.857,0.833,1,1,0.875,1,1,1,0.833,1,0.867,1,1,1,1,1,1,0.67,1,1,0.355,1,1,1,1,1,1,1,1,1,1,1,1,"High income","Europe & Central Asia",1,2111986
"Portugal","PRT",2023,100,96.86666666666666,91.75,80.275,100,93.77833333333332,1,1,0.906,1,0.8578333333333333,0.9721666666666666,0.9165,0.9335,1,0.934,1,0.27699999999999997,1,1,1,1,1,1,1,1,1,1,0.905,0.762,0.862,1,0.906,1,1,0.7,0.84,1,0.75,0.857,0.833,1,1,1,1,1,1,0.833,1,0.867,1,1,1,1,1,1,0.67,1,1,0.27699999999999997,1,1,1,1,1,1,1,1,1,1,1,1,"High income","Europe & Central Asia",1,10409704
"Italy","ITA",2023,100,93,93.26875000000001,81.925,100,93.63875000000002,1,1,0.79,1,0.8983333333333333,0.9721666666666666,0.9165,0.9335,1,1,1,0.27699999999999997,1,1,1,1,1,1,1,1,1,0.933,0.7859999999999999,0.617,0.779,0.838,0.79,1,1,0.8,0.84,1,0.75,1,0.833,1,1,1,1,1,1,0.833,1,0.867,1,1,1,1,1,1,1,1,1,0.27699999999999997,1,1,1,1,1,1,1,1,1,1,1,1,"High income","Europe & Central Asia",1,58940425
"Norway","NOR",2023,100,97.23333333333332,86.7,83.85,100,93.55666666666667,1,1,0.917,1,0.9233333333333333,0.893,0.625,0.862,1,0.8,1,0.5539999999999999,1,1,1,1,1,1,1,1,1,0.983,1,0.769,0.833,1,0.917,1,0.8,0.9,0.84,1,1,1,0.833,1,0.9,0.875,0.75,1,0.5,0.75,0.857,0.867,1,1,1,1,1,1,0,1,1,0.5539999999999999,1,1,1,1,1,1,1,1,1,1,1,1,"High income","Europe & Central Asia",1,5457127
"Canada","CAN",2023,100,92.73333333333333,84.74999999999999,89.825,100,93.46166666666666,1,1,0.782,1,0.8366666666666667,0.9138333333333333,0.6665,0.862,1,1,1,0.593,1,1,1,1,1,1,1,1,1,0.9,1,0.636,0.893,0.483,0.782,1,0.8,0.9,0.88,0.833,0.75,0.857,0.833,1,0.9,1,0.75,1,0.5,0.833,0.857,0.867,1,1,1,1,1,1,1,1,1,0.593,1,1,1,1,1,1,1,1,1,1,1,1,"High income","North America",1,38929902
"United States","USA",2023,100,93.13333333333334,88.39375000000001,85.625,100,93.43041666666667,1,1,0.794,1,0.8200000000000001,0.9555,0.9165,0.8285,1,1,1,0.425,1,1,1,1,1,1,1,1,1,0.917,0.933,0.626,0.595,0.9,0.794,1,0.8,0.8,0.88,0.833,0.75,0.857,0.833,1,0.9,1,1,1,1,0.833,0.857,0.8,1,1,1,1,1,1,1,1,1,0.425,1,1,1,1,1,1,1,1,1,1,1,1,"High income","North America",1,333287557
